device_key,name,unit,device_id,device_name,address_ip
1973a358-298c-4cb5-99fd-91a73f9bd367,Ic,A,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
7ec8f752-19a5-4200-a5f4-ec5858cd09d6,Vb,V,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
7bab6a91-5150-493c-a926-1ceb8bc11087,Total Ea+,Wh,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
46660285-3c22-4a49-a97e-5a4461b00caa,THD Ic,%,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
9d1984de-9317-4ce7-9ea0-bbf8b893b424,Vc,V,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
e7ce5573-dc23-4ac6-9153-3145f380b71f,Positive reactive power history,var,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
bbca9479-1a9b-4d6c-a1be-611d3b5f3eb7,Ib,A,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
4f161488-234f-4d64-8428-6106847a0e99,PF Tot.,-,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
72f30b4a-2ca5-46b7-a448-7ede4bca9ea7,Negative reactive power history,var,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
b03828d5-be71-49ad-8431-61f807242ef1,THD In,%,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
3ec4fc1d-d00b-43ae-9b5d-37131ec51bf3,THD Vb,%,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
ca538774-36af-4de7-8743-88f67ba3e6e6,Vb,V,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
cc4a415b-0986-4b9a-9d6e-262a303ce871,In,A,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
fed7d210-7a3b-4358-ae02-55624c661a9c,Total Er-,varh,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
cba88e86-9176-4301-8fc5-08fbd822f74f,THD Va,%,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
2a6e48b8-93eb-4636-b520-dd687296fe3e,Total Ea+,Wh,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
53437036-6962-454a-a96d-c6e9d8894792,Frequency,Hz,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
4f887d23-3cf2-4d1c-8ae8-0f0bea45cf09,P Tot.,W,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
d043d83e-cb4f-4510-936b-84e479d6689f,Apparent power history,VA,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
6f92c576-6b9f-43fc-a538-36b7b9956ecb,Total Ea-,Wh,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
0709e77d-c09a-42a4-a10c-f3232eb9e034,Total Er+,varh,9fc55a20-0e61-11cd-8a46-0000022792cd,A0/TD1/I-35-1@5,192.168.7.10
